count,stocks1,stocks2,percent2,percent1
629,2,1,35,98
630,2,1,35,98
631,2,1,44,98
632,2,1,44,98
633,2,1,44,98
634,2,1,50,98
635,2,1,50,98
636,2,1,50,98
637,2,1,57,98
638,2,1,57,98
639,2,1,57,98
640,2,1,57,98
641,2,1,57,98
642,2,1,57,102
643,2,1,57,105
644,2,1,57,105
645,2,1,57,105
646,2,1,57,105
647,2,1,57,105
648,2,1,57,105
649,2,1,57,105
650,2,1,57,105
651,2,1,57,105
652,2,1,57,105
653,2,1,57,105
654,2,1,67,105
655,2,1,67,105
656,2,1,67,105
657,2,1,67,105
658,2,1,67,105
659,2,1,67,105
660,2,1,67,105
661,2,1,71,105
662,2,1,71,105
663,2,1,71,105
664,2,1,71,105
665,2,1,71,105
666,2,1,74,105
667,2,1,74,105
668,2,1,74,105
669,2,1,74,105
670,2,1,74,105
671,2,1,74,105
672,2,1,74,117
673,2,1,74,117
674,2,1,74,117
675,2,1,74,117
676,2,1,74,117
677,2,1,74,117
678,2,1,74,117
679,2,1,74,117
680,2,1,74,117
681,2,1,74,117
682,2,1,74,117
683,1,1,74,0
684,1,1,74,0
685,1,1,74,0
686,1,1,74,0
687,1,1,74,0
688,1,1,74,0
689,1,1,74,0
690,1,1,74,0
691,1,1,74,0
692,1,1,74,0
693,1,1,74,0
694,1,1,74,0
695,1,1,74,0
696,1,1,74,0
697,1,1,74,0
698,1,1,74,0
699,1,1,74,0
700,1,1,74,0
701,1,1,91,0
702,1,1,91,0
703,1,1,91,0
704,1,1,91,0
705,1,1,91,0
706,1,1,91,0
707,1,1,91,0
708,1,1,91,0
709,1,1,91,0
710,1,1,91,0
711,1,1,100,0
712,1,1,100,0
713,1,1,100,0
714,1,1,100,0
715,1,1,100,0
716,1,1,100,0
717,1,1,100,0
718,1,1,100,7
719,1,1,100,7
720,1,1,100,7
721,1,1,100,7
722,1,1,100,7
723,1,1,100,7
724,1,1,100,7
725,1,1,100,7
726,1,1,103,7
727,1,1,103,7
728,1,1,103,7
729,1,1,103,7
730,1,1,103,7
731,1,1,112,7
732,1,1,112,7
733,1,1,112,7
734,1,1,112,7
735,1,1,112,7
736,1,1,112,7
737,1,1,113,7
738,1,1,113,7
739,1,1,113,7
740,1,1,116,7
741,1,1,116,7
742,1,1,116,7
743,1,1,116,7
744,1,1,116,7
745,0,1,116,0
